,Country/Region,Date,Confirmed,Deaths,Recovered,Active,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active
0,India,2020-01-22,0,0,0,0,0,0,0,0
1,India,2020-01-23,0,0,0,0,0,0,0,0
2,India,2020-01-24,0,0,0,0,0,0,0,0
3,India,2020-01-25,0,0,0,0,0,0,0,0
4,India,2020-01-26,0,0,0,0,0,0,0,0
5,India,2020-01-27,0,0,0,0,0,0,0,0
6,India,2020-01-28,0,0,0,0,0,0,0,0
7,India,2020-01-29,0,0,0,0,0,0,0,0
8,India,2020-01-30,1,0,0,1,1,0,0,1
9,India,2020-01-31,1,0,0,1,0,0,0,0
10,India,2020-02-01,1,0,0,1,0,0,0,0
11,India,2020-02-02,2,0,0,2,1,0,0,1
12,India,2020-02-03,3,0,0,3,1,0,0,1
13,India,2020-02-04,3,0,0,3,0,0,0,0
14,India,2020-02-05,3,0,0,3,0,0,0,0
15,India,2020-02-06,3,0,0,3,0,0,0,0
16,India,2020-02-07,3,0,0,3,0,0,0,0
17,India,2020-02-08,3,0,0,3,0,0,0,0
18,India,2020-02-09,3,0,0,3,0,0,0,0
19,India,2020-02-10,3,0,0,3,0,0,0,0
20,India,2020-02-11,3,0,0,3,0,0,0,0
21,India,2020-02-12,3,0,0,3,0,0,0,0
22,India,2020-02-13,3,0,0,3,0,0,0,0
23,India,2020-02-14,3,0,0,3,0,0,0,0
24,India,2020-02-15,3,0,0,3,0,0,0,0
25,India,2020-02-16,3,0,3,0,0,0,3,0
26,India,2020-02-17,3,0,3,0,0,0,0,0
27,India,2020-02-18,3,0,3,0,0,0,0,0
28,India,2020-02-19,3,0,3,0,0,0,0,0
29,India,2020-02-20,3,0,3,0,0,0,0,0
30,India,2020-02-21,3,0,3,0,0,0,0,0
31,India,2020-02-22,3,0,3,0,0,0,0,0
32,India,2020-02-23,3,0,3,0,0,0,0,0
33,India,2020-02-24,3,0,3,0,0,0,0,0
34,India,2020-02-25,3,0,3,0,0,0,0,0
35,India,2020-02-26,3,0,3,0,0,0,0,0
36,India,2020-02-27,3,0,3,0,0,0,0,0
37,India,2020-02-28,3,0,3,0,0,0,0,0
38,India,2020-02-29,3,0,3,0,0,0,0,0
39,India,2020-03-01,3,0,3,0,0,0,0,0
40,India,2020-03-02,5,0,3,2,2,0,0,2
41,India,2020-03-03,5,0,3,2,0,0,0,0
42,India,2020-03-04,28,0,3,25,23,0,0,23
43,India,2020-03-05,30,0,3,27,2,0,0,2
44,India,2020-03-06,31,0,3,28,1,0,0,1
45,India,2020-03-07,34,0,3,31,3,0,0,3
46,India,2020-03-08,39,0,3,36,5,0,0,5
47,India,2020-03-09,43,0,3,40,4,0,0,4
48,India,2020-03-10,56,0,4,52,13,0,1,12
49,India,2020-03-11,62,1,4,57,6,1,0,5
50,India,2020-03-12,73,1,4,68,11,0,0,11
51,India,2020-03-13,82,2,4,76,9,1,0,8
52,India,2020-03-14,102,2,4,96,20,0,0,20
53,India,2020-03-15,113,2,13,98,11,0,9,2
54,India,2020-03-16,119,2,13,104,6,0,0,6
55,India,2020-03-17,142,3,14,125,23,1,1,21
56,India,2020-03-18,156,3,14,139,14,0,0,14
57,India,2020-03-19,194,4,15,175,38,1,1,36
58,India,2020-03-20,244,5,20,219,50,1,5,44
59,India,2020-03-21,330,4,23,303,86,0,3,84
60,India,2020-03-22,396,7,27,362,66,3,4,59
61,India,2020-03-23,499,10,27,462,103,3,0,100
62,India,2020-03-24,536,10,40,486,37,0,13,24
63,India,2020-03-25,657,12,43,602,121,2,3,116
64,India,2020-03-26,727,20,45,662,70,8,2,60
65,India,2020-03-27,887,20,73,794,160,0,28,132
66,India,2020-03-28,987,24,84,879,100,4,11,85
67,India,2020-03-29,1024,27,95,902,37,3,11,23
68,India,2020-03-30,1251,32,102,1117,227,5,7,215
69,India,2020-03-31,1397,35,123,1239,146,3,21,122
70,India,2020-04-01,1998,58,148,1792,601,23,25,553
71,India,2020-04-02,2543,72,191,2280,545,14,43,488
72,India,2020-04-03,2567,72,192,2303,24,0,1,23
73,India,2020-04-04,3082,86,229,2767,515,14,37,464
74,India,2020-04-05,3588,99,229,3260,506,13,0,493
75,India,2020-04-06,4778,136,375,4267,1190,37,146,1007
76,India,2020-04-07,5311,150,421,4740,533,14,46,473
77,India,2020-04-08,5916,178,506,5232,605,28,85,492
78,India,2020-04-09,6725,226,620,5879,809,48,114,647
79,India,2020-04-10,7598,246,774,6578,873,20,154,699
80,India,2020-04-11,8446,288,969,7189,848,42,195,611
81,India,2020-04-12,9205,331,1080,7794,759,43,111,605
82,India,2020-04-13,10453,358,1181,8914,1248,27,101,1120
83,India,2020-04-14,11487,393,1359,9735,1034,35,178,821
84,India,2020-04-15,12322,405,1432,10485,835,12,73,750
85,India,2020-04-16,13430,448,1768,11214,1108,43,336,729
86,India,2020-04-17,14352,486,2041,11825,922,38,273,611
87,India,2020-04-18,15722,521,2463,12738,1370,35,422,913
88,India,2020-04-19,17615,559,2854,14202,1893,38,391,1464
89,India,2020-04-20,18539,592,3273,14674,924,33,419,472
90,India,2020-04-21,20080,645,3975,15460,1541,53,702,786
91,India,2020-04-22,21370,681,4370,16319,1290,36,395,859
92,India,2020-04-23,23077,721,5012,17344,1707,40,642,1025
93,India,2020-04-24,24530,780,5498,18252,1453,59,486,908
94,India,2020-04-25,26283,825,5939,19519,1753,45,441,1267
95,India,2020-04-26,27890,881,6523,20486,1607,56,584,967
96,India,2020-04-27,29451,939,7137,21375,1561,58,614,889
97,India,2020-04-28,31324,1008,7747,22569,1873,69,610,1194
98,India,2020-04-29,33062,1079,8437,23546,1738,71,690,977
99,India,2020-04-30,34863,1154,9068,24641,1801,75,631,1095
100,India,2020-05-01,37257,1223,10007,26027,2394,69,939,1386
101,India,2020-05-02,39699,1323,10819,27557,2442,100,812,1530
102,India,2020-05-03,42505,1391,11775,29339,2806,68,956,1782
103,India,2020-05-04,46437,1566,12847,32024,3932,175,1072,2685
104,India,2020-05-05,49400,1693,14142,33565,2963,127,1295,1541
105,India,2020-05-06,52987,1785,15331,35871,3587,92,1189,2306
106,India,2020-05-07,56351,1889,16776,37686,3364,104,1445,1815
107,India,2020-05-08,59695,1985,17887,39823,3344,96,1111,2137
108,India,2020-05-09,62808,2101,19301,41406,3113,116,1414,1583
109,India,2020-05-10,67161,2212,20969,43980,4353,111,1668,2574
110,India,2020-05-11,70768,2294,22549,45925,3607,82,1580,1945
111,India,2020-05-12,74292,2415,24420,47457,3524,121,1871,1532
112,India,2020-05-13,78055,2551,26400,49104,3763,136,1980,1647
113,India,2020-05-14,81997,2649,27969,51379,3942,98,1569,2275
114,India,2020-05-15,85784,2753,30258,52773,3787,104,2289,1394
115,India,2020-05-16,90648,2871,34224,53553,4864,118,3966,780
116,India,2020-05-17,95698,3025,36795,55878,5050,154,2571,2325
117,India,2020-05-18,100328,3156,39233,57939,4630,131,2438,2061
118,India,2020-05-19,106475,3302,42309,60864,6147,146,3076,2925
119,India,2020-05-20,112028,3434,45422,63172,5553,132,3113,2308
120,India,2020-05-21,118226,3584,48553,66089,6198,150,3131,2917
121,India,2020-05-22,124794,3726,51824,69244,6568,142,3271,3155
122,India,2020-05-23,131423,3868,54385,73170,6629,142,2561,3926
123,India,2020-05-24,138536,4024,57692,76820,7113,156,3307,3650
124,India,2020-05-25,144950,4172,60706,80072,6414,148,3014,3252
125,India,2020-05-26,150793,4344,64277,82172,5843,172,3571,2100
126,India,2020-05-27,158086,4534,67749,85803,7293,190,3472,3631
127,India,2020-05-28,165386,4711,70920,89755,7300,177,3171,3952
128,India,2020-05-29,173491,4980,82627,85884,8105,269,11707,0
129,India,2020-05-30,181827,5185,86936,89706,8336,205,4309,3822
130,India,2020-05-31,190609,5408,91852,93349,8782,223,4916,3643
131,India,2020-06-01,198370,5608,95754,97008,7761,200,3902,3659
132,India,2020-06-02,207191,5829,100285,101077,8821,221,4531,4069
133,India,2020-06-03,216824,6088,104071,106665,9633,259,3786,5588
134,India,2020-06-04,226713,6363,108450,111900,9889,275,4379,5235
135,India,2020-06-05,236184,6649,113233,116302,9471,286,4783,4402
136,India,2020-06-06,246622,6946,118695,120981,10438,297,5462,4679
137,India,2020-06-07,257486,7207,123848,126431,10864,261,5153,5450
138,India,2020-06-08,265928,7473,129095,129360,8442,266,5247,2929
139,India,2020-06-09,276146,7750,134670,133726,10218,277,5575,4366
140,India,2020-06-10,286605,8102,135206,143297,10459,352,536,9571
141,India,2020-06-11,297535,8498,147195,141842,10930,396,11989,0
142,India,2020-06-12,308993,8884,154330,145779,11458,386,7135,3937
143,India,2020-06-13,320922,9195,162379,149348,11929,311,8049,3569
