,State_UT,Total_Cases,Active_Cases,Recovered,Deaths,Active Ratio,Recovered Ratio,Death Ratio
0,Maharashtra,5405068,448000,4874582,82486,8.29%,90.19%,1.53%
1,Karnataka,2242065,603660,1616092,22313,26.92%,72.08%,1.00%
2,Kerala,2169369,362675,1800179,6515,16.72%,82.98%,0.30%
3,Tamil Nadu,1631291,231596,1381690,18005,14.20%,84.70%,1.10%
4,Uttar Pradesh,1628990,149032,1462141,17817,9.15%,89.76%,1.09%
5,Andhra Pradesh,1454052,211554,1233017,9481,14.55%,84.80%,0.65%
6,Delhi,1398391,56049,1320496,21846,4.01%,94.43%,1.56%
7,West Bengal,1152433,131560,1007442,13431,11.42%,87.42%,1.17%
8,Chhattisgarh,919054,96156,811015,11883,10.46%,88.24%,1.29%
9,Rajasthan,871266,176363,687969,6934,20.24%,78.96%,0.80%
10,Gujarat,759754,99620,650932,9202,13.11%,85.68%,1.21%
11,Madhya Pradesh,737306,88983,641254,7069,12.07%,86.97%,0.96%
12,Haryana,701915,83161,611955,6799,11.85%,87.18%,0.97%
13,Bihar,657829,69698,584203,3928,10.60%,88.81%,0.60%
14,Odisha,622981,94293,526353,2335,15.14%,84.49%,0.37%
15,Telangana,532784,49341,480458,2985,9.26%,90.18%,0.56%
16,Punjab,504586,73616,418884,12086,14.59%,83.02%,2.40%
17,Assam,335023,46289,286463,2271,13.82%,85.51%,0.68%
18,Jharkhand,318009,33524,279946,4539,10.54%,88.03%,1.43%
19,Uttarakhand,291005,78608,207363,5034,27.01%,71.26%,1.73%
20,Jammu and Kashmir,247952,50852,193878,3222,20.51%,78.19%,1.30%
21,Himachal Pradesh,163786,36633,124771,2382,22.37%,76.18%,1.45%
22,Goa,137418,25753,109513,2152,18.74%,79.69%,1.57%
23,Puducherry,85952,17383,67390,1179,20.22%,78.40%,1.37%
24,Chandigarh,55987,7382,47964,641,13.19%,85.67%,1.14%
25,Tripura,41897,5367,36085,445,12.81%,86.13%,1.06%
26,Manipur,40059,6338,33129,592,15.82%,82.70%,1.48%
27,Meghalaya,23966,4915,18715,336,20.51%,78.09%,1.40%
28,Arunachal Pradesh,22106,2346,19675,85,10.61%,89.00%,0.38%
29,Nagaland,18349,4253,13880,216,23.18%,75.64%,1.18%
30,Ladakh,16582,1542,14875,165,9.30%,89.71%,1.00%
31,Sikkim,11480,2937,8333,210,25.58%,72.59%,1.83%
32,Dadra and Nagar Haveli and Daman and Diu,9599,750,8845,4,7.81%,92.15%,0.04%
33,Mizoram,9068,2108,6932,28,23.25%,76.44%,0.31%
34,Andaman and Nicobar,6638,220,6329,89,3.31%,95.34%,1.34%
35,Lakshadweep,4986,1208,3764,14,24.23%,75.49%,0.28%
