,State_UT,Dose_1,Dose_2,Total_Vaccination,Total_Vaccination_Yesterday
0,Andaman and Nicobar,105123,15154,120277,119590
1,Andhra Pradesh,5781754,2374331,8156085,8023541
2,Arunachal Pradesh,250445,78100,328545,327007
3,Assam,3090486,808417,3898903,3830062
4,Bihar,8238708,1747849,9986557,9865884
5,Chandigarh,248680,74683,323363,320422
6,Chhattisgarh,5830242,1095115,6925357,6909823
7,Dadra and Nagar Haveli and Daman and Diu,136876,25913,162789,156814
8,Delhi,4014576,1176447,5191023,5146838
9,Goa,402383,94743,497126,491291
10,Gujarat,11930254,3967609,15897863,15702276
11,Haryana,4596092,960276,5556368,5486213
12,Himachal Pradesh,1943115,433243,2376358,2358006
13,Jammu and Kashmir,2506549,540117,3046666,3010142
14,Jharkhand,3328050,684219,4012269,3972620
15,Karnataka,9748053,2641136,12389189,12243473
16,Kerala,6736439,2020210,8756649,8701163
17,Ladakh,99023,37264,136287,134062
18,Lakshadweep,24383,6935,31318,31277
19,Madhya Pradesh,8412107,1763113,10175220,10168575
20,Maharashtra,16791838,4420595,21212433,21013742
21,Manipur,354004,70157,424161,420920
22,Meghalaya,372110,74202,446312,440666
23,Mizoram,255368,51058,306426,304924
24,Nagaland,207799,51861,259660,253363
25,Odisha,5876860,1448470,7325330,7228138
26,Puducherry,200454,50925,251379,248835
27,Punjab,4108914,744101,4853015,4812094
28,Rajasthan,13232595,3050825,16283420,16183750
29,Sikkim,177224,59633,236857,235581
30,Tamil Nadu,5679909,1970591,7650500,7473489
31,Telangana,4462036,1126648,5588684,5529827
32,Tripura,1058049,507029,1565078,1559837
33,Uttar Pradesh,13436943,3379393,16816336,16543234
34,Uttarakhand,2147406,681667,2829073,2807288
35,West Bengal,9650872,3835335,13486207,13333117
36,Miscellaneous,1713874,1445499,3159373,3151115
